Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/27/13,ORDINARY DIVIDEND (VTI),ORDINARY DIVIDEND (VTI),31.62,credit,Dividend & Cap Gains,TD Ameritrade,,
12/27/13,ORDINARY DIVIDEND~VTI,ORDINARY DIVIDEND~VTI,49.4,credit,Dividend & Cap Gains,TD Ameritrade,,
12/27/13,ORDINARY DIVIDEND~VEA,ORDINARY DIVIDEND~VEA,21.3,credit,Dividend & Cap Gains,TD Ameritrade,,
12/27/13,ORDINARY DIVIDEND~VTI,ORDINARY DIVIDEND~VTI,31.62,credit,Dividend & Cap Gains,TD Ameritrade,,
12/19/13,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,0.44,credit,Withdrawal,TD Ameritrade,,
12/18/13,FOREIGN SECURITY FEE,FOREIGN SECURITY FEE,15,debit,Trade Commissions,TD Ameritrade,,
12/17/13,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,553.52,credit,Withdrawal,TD Ameritrade,,
12/16/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,553.52,debit,Buy,TD Ameritrade,,
12/13/13,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,1011.47,credit,Withdrawal,TD Ameritrade,,
12/12/13,Trade Commission,Bought 8 VBK @ 117.1094,0,debit,Buy,TD Ameritrade,,
12/12/13,Bought 8 VBK @ 117.1094,Bought 8 VBK @ 117.1094,936.88,debit,Buy,TD Ameritrade,,
12/12/13,Trade Commission,Bought 4 ARMHF @ 16.15,9.99,debit,Buy,TD Ameritrade,,
12/12/13,Bought 4 ARMHF @ 16.15,Bought 4 ARMHF @ 16.15,64.6,debit,Buy,TD Ameritrade,,
12/2/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,0.6,debit,Buy,TD Ameritrade,,
12/2/13,QUALIFIED DIVIDEND,QUALIFIED DIVIDEND,0.6,credit,Dividend & Cap Gains,TD Ameritrade,,
12/2/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,0.01,debit,Buy,TD Ameritrade,,
12/2/13,QUALIFIED DIVIDEND~WFC,QUALIFIED DIVIDEND~WFC,0.6,credit,Dividend & Cap Gains,TD Ameritrade,,
11/29/13,QUALIFIED DIVIDEND,QUALIFIED DIVIDEND,0.26,credit,Dividend & Cap Gains,TD Ameritrade,,
11/29/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,1000.26,debit,Buy,TD Ameritrade,,
11/29/13,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,12102.55,credit,Withdrawal,TD Ameritrade,,
11/29/13,FREE BALANCE INTEREST ADJUSTMENT,FREE BALANCE INTEREST ADJUSTMENT,0.01,credit,Uncategorized,TD Ameritrade,,
11/29/13,QUALIFIED DIVIDEND~SBUX,QUALIFIED DIVIDEND~SBUX,0.26,credit,Dividend & Cap Gains,TD Ameritrade,,
11/27/13,Trade Commission,Bought 64 VTI @ 93.99,0,debit,Buy,TD Ameritrade,,
11/27/13,Bought 64 VTI @ 93.99,Bought 64 VTI @ 93.99,6015.36,debit,Buy,TD Ameritrade,,
11/27/13,Trade Commission,Bought 56 VB @ 108.6999,0,debit,Buy,TD Ameritrade,,
11/27/13,Bought 56 VB @ 108.6999,Bought 56 VB @ 108.6999,6087.19,debit,Buy,TD Ameritrade,,
11/27/13,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),1000,credit,Uncategorized,TD Ameritrade,,
11/14/13,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,12159.62,credit,Withdrawal,TD Ameritrade,,
11/12/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,12123.46,debit,Buy,TD Ameritrade,,
11/11/13,Trade Commission,Bought 50 INTC @ 24.2199,9.99,debit,Buy,TD Ameritrade,,
11/11/13,Bought 50 INTC @ 24.2199,Bought 50 INTC @ 24.2199,1211,debit,Buy,TD Ameritrade,,
11/11/13,Trade Commission,Bought 50 VBK @ 117.4186,0,debit,Buy,TD Ameritrade,,
11/11/13,Bought 50 VBK @ 117.4186,Bought 50 VBK @ 117.4186,5870.93,debit,Buy,TD Ameritrade,,
11/11/13,Trade Commission,Bought 100 VEA @ 40.4397,0,debit,Buy,TD Ameritrade,,
11/11/13,Bought 100 VEA @ 40.4397,Bought 100 VEA @ 40.4397,4043.97,debit,Buy,TD Ameritrade,,
11/11/13,Trade Commission,"Bought 1 GOOG @ 1,013.739",9.99,debit,Buy,TD Ameritrade,,
11/11/13,"Bought 1 GOOG @ 1,013.739","Bought 1 GOOG @ 1,013.739",1013.74,debit,Buy,TD Ameritrade,,
11/11/13,Sold 595.628 FFALX @ 13.25,Sold 595.628 FFALX @ 13.25,7892.07,credit,Sell,TD Ameritrade,,
11/11/13,Sold 335.027 GGSAX @ 12.63,Sold 335.027 GGSAX @ 12.63,4231.39,credit,Sell,TD Ameritrade,,
11/8/13,MONEY MARKET REDEMPTION,MONEY MARKET REDEMPTION,9190.89,credit,Withdrawal,TD Ameritrade,,
11/6/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,15,debit,Buy,TD Ameritrade,,
11/5/13,Trade Commission,Bought 100 VTI @ 91.809,9.99,debit,Buy,TD Ameritrade,,
11/5/13,Bought 100 VTI @ 91.809,Bought 100 VTI @ 91.809,9180.9,debit,Buy,TD Ameritrade,,
11/5/13,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),150,credit,Uncategorized,TD Ameritrade,,
11/1/13,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,135,debit,Uncategorized,TD Ameritrade,,
10/9/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,21670.71,debit,Buy,TD Ameritrade,,
10/8/13,Sold 607.978 FFALX @ 12.63,Sold 607.978 FFALX @ 12.63,7678.76,credit,Sell,TD Ameritrade,,
10/8/13,Sold 1068.904 AADAX @ 13.09,Sold 1068.904 AADAX @ 13.09,13991.95,credit,Sell,TD Ameritrade,,
9/30/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,40,debit,Buy,TD Ameritrade,,
9/27/13,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,40,credit,Uncategorized,TD Ameritrade,,
9/25/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,5,debit,Buy,TD Ameritrade,,
9/24/13,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),140,credit,Uncategorized,TD Ameritrade,,
9/23/13,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,CASH MOVEMENT OF INCOMING ACCOUNT TRANSFER,135,debit,Uncategorized,TD Ameritrade,,
9/3/13,QUALIFIED DIVIDEND,QUALIFIED DIVIDEND,0.6,credit,Dividend & Cap Gains,TD Ameritrade,,
9/3/13,MONEY MARKET PURCHASE,MONEY MARKET PURCHASE,0.6,debit,Buy,TD Ameritrade,,
